GO Highest Offense Desc,GO X Coordinate,GO Y Coordinate
BURGLARY OF RESIDENCE         ,3128495,10107901
BURGLARY OF VEHICLE           ,3084923,10036665
BURGLARY OF VEHICLE           ,3092658,10033291
BURGLARY OF VEHICLE           ,3092658,10033291
THEFT                         ,3136102,10104145
BURGLARY OF VEHICLE           ,3121683,10111791
THEFT                         ,3131955,10105966
BURGLARY OF RESIDENCE         ,3128495,10107901
BURGLARY OF VEHICLE           ,3128495,10107901
THEFT                         ,3128495,10107901
ROBBERY BY ASSAULT            ,3128495,10107901
BURGLARY OF RESIDENCE         ,3128495,10107901
BURGLARY OF RESIDENCE         ,3128495,10107901
BURGLARY OF RESIDENCE         ,3128495,10107901
AUTO THEFT                    ,3128495,10107901
BURGLARY OF VEHICLE           ,3128495,10107901
BURGLARY OF VEHICLE           ,3128495,10107901
BURGLARY OF VEHICLE           ,3128495,10107901
BURGLARY OF VEHICLE           ,3128495,10107901
AGG ASLT STRANGLE/SUFFOCATE   ,3128495,10107901
BURGLARY OF VEHICLE           ,3128495,10107901
AGG ASLT ENHANC STRANGL/SUFFOC,3128495,10107901
ROBBERY BY ASSAULT            ,3128495,10107901
AGG ROBBERY/DEADLY WEAPON     ,3128495,10107901
AGG ASLT STRANGLE/SUFFOCATE   ,3128495,10107901
THEFT OF LICENSE PLATE        ,3128495,10107901
AUTO THEFT                    ,3128495,10107901
AUTO THEFT                    ,3128495,10107901
BURGLARY OF RESIDENCE         ,3128495,10107901
THEFT                         ,3128495,10107901
BURGLARY OF VEHICLE           ,3128495,10107901
AGG ASLT STRANGLE/SUFFOCATE   ,3128495,10107901
AGG ASSAULT                   ,3128495,10107901
BURGLARY OF VEHICLE           ,3128495,10107901
BURG NON RESIDENCE SHEDS      ,3128495,10107901
BURGLARY OF VEHICLE           ,3128495,10107901
BURGLARY OF VEHICLE           ,3128495,10107901
AGG ASSAULT                   ,3128495,10107901
BURGLARY OF VEHICLE           ,3112157,10116084
THEFT                         ,3112157,10116084
THEFT                         ,3112157,10116084
BURGLARY OF VEHICLE           ,3112157,10116084
BURGLARY OF VEHICLE           ,3112157,10116084
THEFT                         ,3111880,10116088
THEFT BY SHOPLIFTING          ,3111880,10116088
BURGLARY OF VEHICLE           ,3111880,10116088
BURGLARY OF VEHICLE           ,3111880,10116088
THEFT                         ,3111880,10116088
BURGLARY OF VEHICLE           ,3111880,10116088
BURGLARY OF VEHICLE           ,3111880,10116088
THEFT                         ,3111880,10116088
BURGLARY OF VEHICLE           ,3111880,10116088
BURGLARY OF VEHICLE           ,3111880,10116088
BURGLARY OF VEHICLE           ,3111880,10116088
THEFT                         ,3112283,10115903
BURGLARY OF VEHICLE           ,3112283,10115903
BURGLARY OF VEHICLE           ,3112283,10115903
THEFT                         ,3111978,10115826
THEFT                         ,3111978,10115826
THEFT                         ,3111978,10115826
BURGLARY OF VEHICLE           ,3111978,10115826
BURGLARY OF VEHICLE           ,3111978,10115826
THEFT                         ,3111978,10115826
BURGLARY OF VEHICLE           ,3111978,10115826
THEFT                         ,3111978,10115826
BURGLARY OF VEHICLE           ,3111978,10115826
BURGLARY OF VEHICLE           ,3111978,10115826
BURGLARY OF VEHICLE           ,3111978,10115826
THEFT                         ,3101049,10148343
THEFT                         ,3131449,10106411
THEFT                         ,3135407,10104475
THEFT                         ,3132645,10105779
AGG ROBBERY/DEADLY WEAPON     ,3114411,10115303
THEFT                         ,3114411,10115303
BURGLARY NON RESIDENCE        ,3132145,10106031
BURG NON RESIDENCE SHEDS      ,3132145,10106031
BURGLARY NON RESIDENCE        ,3132145,10106031
BURGLARY NON RESIDENCE        ,3132145,10106031
BURGLARY NON RESIDENCE        ,3132145,10106031
BURGLARY OF VEHICLE           ,3112380,10115878
THEFT BY SHOPLIFTING          ,3112380,10115878
AGG ROBBERY/DEADLY WEAPON     ,3112331,10115916
BURGLARY OF VEHICLE           ,3112331,10115916
BURGLARY OF RESIDENCE         ,3097404,10031430
AUTO THEFT                    ,3097404,10031430
AUTO THEFT                    ,3097404,10031430
BURGLARY OF RESIDENCE         ,3097404,10031430
BURGLARY OF VEHICLE           ,3097404,10031430
AUTO THEFT                    ,3097404,10031430
AGG ROBBERY/DEADLY WEAPON     ,3097404,10031430
BURGLARY OF VEHICLE           ,3097404,10031430
BURGLARY OF RESIDENCE         ,3097404,10031430
BURGLARY OF RESIDENCE         ,3097404,10031430
AGG ROBBERY/DEADLY WEAPON     ,3100387,10029745
BURGLARY OF VEHICLE           ,3124314,10110430
BURGLARY OF VEHICLE           ,3134739,10104868
THEFT                         ,3089429,10034890
AUTO THEFT                    ,3126536,10109585
BURGLARY OF VEHICLE           ,3123749,10110509
BURGLARY OF RESIDENCE         ,3123774,10110949
THEFT                         ,3123774,10110949
THEFT                         ,3091387,10034562
AGG ASLT STRANGLE/SUFFOCATE   ,3131570,10106487
BURGLARY OF RESIDENCE         ,3123800,10110552
THEFT                         ,3090947,10128444
THEFT                         ,3131413,10106679
AUTO THEFT                    ,3131605,10106553
BURGLARY OF VEHICLE           ,3130839,10107149
THEFT                         ,3129341,10108079
BURGLARY OF VEHICLE           ,3126646,10109800
BURGLARY OF VEHICLE           ,3134699,10105094
AUTO THEFT                    ,3097949,10044055
AGG ASLT STRANGLE/SUFFOCATE   ,3097949,10044055
BURGLARY OF VEHICLE           ,3110501,10067912
BURGLARY OF VEHICLE           ,3110501,10067912
BURGLARY OF VEHICLE           ,3110501,10067912
BURGLARY OF VEHICLE           ,3127786,10108760
AUTO THEFT                    ,3106110,10058957
AUTO THEFT                    ,3109357,10048157
THEFT CATALYTIC CONVERTER     ,3123581,10086150
BURGLARY OF VEHICLE           ,3117671,10069478
BURGLARY OF VEHICLE           ,3117671,10069478
THEFT                         ,3118019,10070835
AUTO THEFT                    ,3115995,10064108
AUTO THEFT                    ,3132107,10103129
THEFT FROM PERSON             ,3116536,10071770
THEFT FROM PERSON             ,3116536,10071770
ROBBERY BY ASSAULT            ,3126206,10089666
THEFT                         ,3134997,10108805
THEFT                         ,3134997,10108805
THEFT                         ,3134997,10108805
THEFT                         ,3134997,10108805
THEFT FROM AUTO               ,3134997,10108805
THEFT                         ,3134997,10108805
BURGLARY OF VEHICLE           ,3107195,10060377
BURGLARY OF VEHICLE           ,3118364,10071415
AUTO THEFT                    ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT                         ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
BURGLARY OF VEHICLE           ,3121345,10082705
THEFT                         ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
BURGLARY OF VEHICLE           ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT OF BICYCLE              ,3121345,10082705
THEFT                         ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
ROBBERY BY ASSAULT            ,3121345,10082705
THEFT                         ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT                         ,3121345,10082705
BURGLARY OF VEHICLE           ,3121345,10082705
AGG ROBBERY/DEADLY WEAPON     ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT                         ,3121345,10082705
THEFT                         ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT                         ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT OF BICYCLE              ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT                         ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT                         ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT                         ,3121345,10082705
THEFT                         ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT                         ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT                         ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT                         ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT FROM AUTO               ,3121345,10082705
THEFT                         ,3121345,10082705
THEFT                         ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT                         ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT                         ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT                         ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT                         ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT                         ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT                         ,3121345,10082705
AGG ROBBERY/DEADLY WEAPON     ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT                         ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT                         ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
BURGLARY OF COIN-OP MACHINE   ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
