GO Highest Offense Desc,GO Location Zip
BURGLARY OF RESIDENCE         ,78758
BURGLARY OF VEHICLE           ,78748
BURGLARY OF VEHICLE           ,78748
BURGLARY OF VEHICLE           ,78748
THEFT                         ,78753
BURGLARY OF VEHICLE           ,78758
THEFT                         ,78753
BURGLARY OF RESIDENCE         ,78758
BURGLARY OF VEHICLE           ,78758
THEFT                         ,78758
ROBBERY BY ASSAULT            ,78758
BURGLARY OF RESIDENCE         ,78758
BURGLARY OF RESIDENCE         ,78758
BURGLARY OF RESIDENCE         ,78758
AUTO THEFT                    ,78758
BURGLARY OF VEHICLE           ,78758
BURGLARY OF VEHICLE           ,78758
BURGLARY OF VEHICLE           ,78758
BURGLARY OF VEHICLE           ,78758
AGG ASLT STRANGLE/SUFFOCATE   ,78758
BURGLARY OF VEHICLE           ,78758
AGG ASLT ENHANC STRANGL/SUFFOC,78758
ROBBERY BY ASSAULT            ,78758
AGG ROBBERY/DEADLY WEAPON     ,78758
AGG ASLT STRANGLE/SUFFOCATE   ,78758
THEFT OF LICENSE PLATE        ,78758
AUTO THEFT                    ,78758
AUTO THEFT                    ,78758
BURGLARY OF RESIDENCE         ,78758
THEFT                         ,78758
BURGLARY OF VEHICLE           ,78758
AGG ASLT STRANGLE/SUFFOCATE   ,78758
AGG ASSAULT                   ,78758
BURGLARY OF VEHICLE           ,78758
BURG NON RESIDENCE SHEDS      ,78758
BURGLARY OF VEHICLE           ,78758
BURGLARY OF VEHICLE           ,78758
AGG ASSAULT                   ,78758
BURGLARY OF VEHICLE           ,78759
THEFT                         ,78759
THEFT                         ,78759
BURGLARY OF VEHICLE           ,78759
BURGLARY OF VEHICLE           ,78759
THEFT                         ,78759
THEFT BY SHOPLIFTING          ,78759
BURGLARY OF VEHICLE           ,78759
BURGLARY OF VEHICLE           ,78759
THEFT                         ,78759
BURGLARY OF VEHICLE           ,78759
BURGLARY OF VEHICLE           ,78759
THEFT                         ,78759
BURGLARY OF VEHICLE           ,78759
BURGLARY OF VEHICLE           ,78759
BURGLARY OF VEHICLE           ,78759
THEFT                         ,78759
BURGLARY OF VEHICLE           ,78759
BURGLARY OF VEHICLE           ,78759
THEFT                         ,78759
THEFT                         ,78759
